03991,10461,93716,16894,98953,73231,39528,72484,82474,25593
38555,95554,32886,59780,09958,18065,81616,18711,53342,44276
17546,73704,92052,46215,15917,06253,07586,16120,82641,22820  
32643,52861,95819,06831,19640,99413,90767,04235,13574,17200  
69572,68777,39510,35905,85244,35159,40188,28193,29593,88627  

24122,66591,27699,06494,03152,19121,34414,82157,86887,55087  
61196,30231,92962,61773,22109,78508,63439,75363,44989,16822  
30532,21704,10274,12202,94205,20380,67049,09070,93399,45547  
03788,97599,75867,20717,82037,10268,79495,04146,52162,90286  
48228,63379,85783,47619,87481,37220,91704,30552,04737,21031  

88618,19161,41290,67312,71857,15957,48545,35247,18619,71299  
23853,05870,01119,92784,26340,75122,11724,74627,13674,73707  
27954,58909,82444,99005,04921,73701,92904,13141,32392,19763  
80863,00514,20247,81759,45197,25332,68902,63742,78464,22501  
33564,60780,48460,85558,15191,18782,94972,11598,62095,36787  

90899,75754,60833,25983,01291,41349,19152,00023,12302,80783  
78038,70267,43529,96318,38384,74761,36024,00867,76378,41605  
55986,66485,88722,56736,66164,49431,94458,74284,05041,49807  
87539,08823,94813,31900,54155,83436,54158,34243,46978,35482  
16818,60311,74457,90561,72848,11834,75051,93029,47665,64382  

34677,58300,74910,64345,19325,81549,60365,94653,35075,33949  
45305,07521,61318,31855,14413,70951,83799,42402,56623,34442  
59747,67277,76503,34513,39663,77544,32960,07405,36409,83232  
16520,69676,11654,99893,02181,68161,19322,53845,57620,52606  
68652,2:376,92852,55866,88448,03584,11220,94747,07399,37408  

79375,95220,01159,63267,10622,48391,31751,57260,68980,05339  
33521,36665,55823,47641,86225,31704,88492,99382,14454,04504  
59589,49067,66821,41575,49767,04037,30934,47744,07481,83828  
20654,92409,96277,48257,50816,97616,22888,48893,27499,98748  
59404,72059,43947,51080,43852,59693,78212,16993,45902,91386  

42614,29297,01918,28316,25163,91889,70014,15021,68971,11403  
34994,41374,70071,14736,65251,07629,37239,33295,18477,65622  
99385,41600,11133,07586,36815,43625,18637,37509,14707,93997  
66497,68646,78138,66559,64397,11692,05327,82162,83745,22567  
48509,23929,27482,45476,04515,25624,95096,67946,16930,33361  

15470,48355,88651,22596,83761,60873,43253,84145,20368,07126  
20094,98977,74843,93413,14387,06345,80854,90279,41196,37480  
73788,06533,28597,20405,51321,92246,80088,77074,66919,31678  
60530,45128,74022,84617,72472,00008,80890,18002,35352,54131  
44372,15486,65741,14014,05466,55306,93128,18464,79982,68416
